1   オブジェ００１  35.906295   139.623999  2
2   オブジェ００２  35.906375   139.624199  1
3   オブジェ００３  35.906425   139.624719  1
4   オブジェ００４  35.906565   139.624269  3
5   オブジェ００５  35.907055   139.624489  2
6   オブジェ００６  35.907115   139.624069  1
7   オブジェ００７  35.906815   139.624799  3
8   オブジェ００８  35.906765   139.624319  2
9   オブジェ００９  35.906615   139.624099  3
10  オブジェ０１０  35.907215   139.624859  2
11  オブジェ０１１  35.906705   139.624149  1
12  オブジェ０１２  35.906765   139.624639  3
13  オブジェ０１３  35.906555   139.624539  2
14  オブジェ０１４  35.907175   139.624559  3
15  オブジェ０１５  35.907195   139.624119  2
16  オブジェ０１６  35.906325   139.624919  2
17  オブジェ０１７  35.906965   139.624419  3
18  オブジェ０１８  35.907075   139.624519  2
19  オブジェ０１９  35.907235   139.624779  2
20  オブジェ０２０  35.906445   139.624399  2

